Bedrooms,Bathrooms,Area,Level,Type_Apartment,Type_Chalet,Type_Duplex,Type_Penthouse,Type_Stand Alone Villa,Type_Studio,Type_Town House,Type_Twin House,Furnished_No,Furnished_Yes,City_10th of Ramadan,City_15 May City,City_6th of October,City_Abu Talat,City_Agami,City_Agouza,City_Ain Shams,City_Ain Sukhna,City_Al Ibrahimiyyah,City_Al Manial,City_Alamein,City_Almazah,City_Amreya,City_Asafra,City_Asyut City,City_Azarita,City_Badr City,City_Bolkly,City_Borg al-Arab,City_Camp Caesar,City_Dabaa,City_Dokki,City_Faisal,City_Gesr Al Suez,City_Gianaclis,City_Giza District,City_Glim,City_Gouna,City_Hadayek 6th of October,City_Hadayek al-Ahram,City_Hadayek al-Kobba,City_Hammam,City_Haram,City_Heliopolis,City_Helmeyat El Zaytoun,City_Hurghada,City_Imbaba,City_Ismailia City,City_Kafr Abdo,City_Katameya,City_Laurent,City_Maadi,City_Maamoura,City_Madinaty,City_Mandara,City_Mansura,City_Marsa Matrouh,City_Miami,City_Mohandessin,City_Moharam Bik,City_Mokattam,City_Mostakbal City,City_Nakheel,City_Nasr City,City_New Cairo - El Tagamoa,City_New Capital City,City_New Damietta,City_New Heliopolis,City_New Mansoura,City_New Nozha,City_North Coast,City_Obour City,City_Ras Sedr,City_Ras al-Bar,City_Rehab City,City_Roushdy,City_Saba Pasha,City_Sahl Hasheesh,City_San Stefano,City_Seyouf,City_Sharm al-Sheikh,City_Sharq District,City_Sheikh Zayed,City_Sheraton,City_Shorouk City,City_Shubra,City_Shubra al-Khaimah,City_Sidi Beshr,City_Smoha,City_Stanley,City_Tanta,City_West Somid,City_Zagazig,City_Zahraa Al Maadi,City_Zamalek,City_Zezenia,Payment_Option_Cash,Payment_Option_Cash or Installment,Payment_Option_Installment,Payment_Option_Unknown Payment,Delivery_Term_Core & Shell,Delivery_Term_Finished,Delivery_Term_Not Finished,Delivery_Term_Semi Finished
3,3,160,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3,2,165,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3,2,230,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,3,160,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,3,222,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,5,290,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2,2,144,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,3,200,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,2,146,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4,3,153,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
